anno;1 ora;3 ore; 6 ore;12 ore;24 ore
1931;13;24;34;55;81.5
1932;;;;;
1933;;;;;
1934;28;40.6;;66.4;88.2
1935;;;;;
1936;45.8;55.2;63.4;75.2;
1937;;;;;
1938;18;22.4;35.2;40;69.4
1939;41.6;70.4;83;87.8;101.2
1940;32.2;40.2;46;57.4;106
1941;27.2;31.6;42;51.2;63
1942;23;33;44;57;99
1943;20.6;26.8;33.2;45.6;51.4
1944;14.8;16.4;25.2;42;54.4
1945;26.4;36.4;43.2;49;91.6
1946;20.6;22.4;33.4;65;82.4
1947;16;36.2;50.4;65.8;81.4
1948;20;38;54;67;70
1949;29;35.8;41;42.2;62.4
1950;18;27.4;50.4;57.6;79
1951;10.6;24.0;52.6;70.4;111.0
1952;;;;;
1953;;;;;
1954;9.0;21.2;39.2;60.2;89.0
1955;21.4;28.2;29.0;31.0;59.4
1956;53.4;57.6;60.6;61.0;61.6
1957;24.4;33.0;49.0;53.2;84.6
1958;23.0;33.0;47.0;64.2;95.0
1959;30.0;37.6;53.0;73.6;117.0
1960;28.8;30.0;42.8;64.0;76.2
1961;;;;;
1962;;;;;
1963;18.4;24.2;32.8;43.0;74.4
1964;22.2;26.2;44.0;63.0;83.4
1965;27.8;27.8;27.8;45.0;71.6
1966;28.5;51.1;52.2;81.5;112.5
1967;44.4;46.6;46.6;62.4;82.8
1968;18.8;29.4;32.4;37.0;61.6
1969;11.2;21.6;21.8;23.2;38.0
1970;13.2;24.4;29.0;50.4;76.6
1971;17.0;25.2;27.4;59.2;68.0
1972;11.6;19.2;30.6;42.8;64.6
1973;24.4;26.0;33.8;43.0;57.4
1974;17.0;29.8;38.0;41.4;43.2
1975;23.0;29.0;31.2;48.4;66.2
1976;34.4;38.0;55.0;98.0;125.4
1977;25.2;30.0;43.8;71.6;77.2
1978;23.2;23.2;23.2;34.0;45.6
1979;11.8;32.8;55.4;78.4;120.6
1980;14.6;30.8;47.4;67.8;102.0
1981;21.0;30.4;38.6;62.6;91.8
1982;33.6;51.8;61.4;61.8;94.2
1983;28.2;29.6;41.2;55.0;56.4
1984;51.4;52.2;52.4;54.0;62.2
1985;44.8;45.8;45.8;54.8;82.8
1986;16.6;28.2;37.6;43.6;84.8
1987;25.2;29.6;33.8;41.6;56.8
1988;20.0;40.0;58.4;68.4;74.4
1989;17.4;25.0;42.0;51.0;61.2
1990;24.4;32.4;34.8;45.6;59.8
1991;30;58;82.6;95.6;95.8
1992;17;24;42.2;66.8;92.6
1993;22.2;32.8;43.2;71.2;89.8
1994;18.2;31.8;38.4;50.4;65.4
1995;;;;;
1996;22;41.4;55.2;60.4;76.4
1997;36;39.6;59.8;75.2;106.4
1998;28.6;32.2;34.2;48.6;84.4
1999;34.4;62.6;63.4;75.6;93.2
2000;43.8;44.4;44.4;62.4;87.2
2001;35.6;47.6;49.2;50.4;87
2002;25.2;34;41.6;63;118.8
